Type,Name,Website,Address
restaurant,O'Charley's,Not Provided," SR 67, Friendswood, Hendricks County, Indiana, 46113, United States"
fast_food,Taco Bell,Not Provided," SR 67, Friendswood, Hendricks County, Indiana, 46113, United States"
fast_food,Sonic,Not Provided," East County Road 800 South, Friendswood, Hendricks County, Indiana, 46113, United States"
restaurant,Bob Evans,Not Provided," SR 67, Friendswood, Hendricks County, Indiana, 46113, United States"
fast_food,Subway,Not Provided," SR 67, Friendswood, Hendricks County, Indiana, 46113, United States"
restaurant,Donatos Pizza,Not Provided," SR 67, Mooresville, Morgan County, Indiana, 46158, United States"
fast_food,Dairy Queen,Not Provided," Bridge Street, Mooresville, Morgan County, Indiana, 46158, United States"
fast_food,Burger King,Not Provided," Bridge Street, Mooresville, Morgan County, Indiana, 46158, United States"
restaurant,Steak 'n Shake,Not Provided," Town Center Drive, Mooresville, Morgan County, Indiana, 46158, United States"
fast_food,Wendy's,Not Provided," SR 144, Mooresville, Morgan County, Indiana, 46158, United States"
fast_food,Dunkin' Donuts,Not Provided," 7015, Kentucky Avenue, Camby, Indianapolis, Marion County, Indiana, 46113, United States"
fast_food,Papa John's,Not Provided," Camby Crossing Drive, Camby, Indianapolis, Marion County, Indiana, 46113, United States"
restaurant,Bangkok Thai Cuisine,Not Provided," East Covenanter Drive, Bloomington, Monroe County, Indiana, 47401, United States"
cafe,Soma Coffee House and Juice Bar,Not Provided," 1400, East 3rd Street, Bloomington, Monroe County, Indiana, 47401, United States"
restaurant,Dragon Express,Not Provided," East 3rd Street, Bloomington, Monroe County, Indiana, 47401, United States"
fast_food,Marco's Pizza,Not Provided," 8235, East 116th Street, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,Asian Cuisine,https://www.asiancuisinein.com/," 9516, Haver Way, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Arni's,www.meetyouatarnis.com," 4705, East 96th Street, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Hong Kong Chinese Restaurant,www.hongkongcarmel.com," 12536, North Gray Road, Carmel, Hamilton County, Indiana, 46033, United States"
restaurant,Mark Pi's Express,www.markpi.com," 11860, Allisonville Road, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,Golden Wok,Not Provided," 8350, East 96th Street, Indianapolis, Hamilton County, Indiana, 46038, United States"
restaurant,Mike's Pizza,Not Provided," 536, B Avenue East, Seymour, Jackson County, Indiana, 47274, United States"
restaurant,Real Hacienda,Not Provided," New Margaret Drive, Terre Haute, Vigo County, Indiana, 47803, United States"
restaurant,Aver's Gourmet Pizza,Not Provided," East Covenanter Drive, Bloomington, Monroe County, Indiana, 47401, United States"
fast_food,Dairy Queen,Not Provided," West State Street, West Lafayette, Tippecanoe County, Indiana, 47907, United States"
fast_food,Subway,Not Provided," 610, West Lafayette, Tippecanoe County, Indiana, 47907, United States"
fast_food,Handel's Homemade Ice Cream & Yogurt,http://www.handelsicecream.com/indy/," 8760, East 116th Street, Fishers, Hamilton County, Indiana, 46038, United States"
fast_food,Five Guys,Not Provided," 13971, Town Center Boulevard, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,Pies & Pints,Not Provided," 13901, Town Center Boulevard, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,Occasionally Yours,http://www.yatscajuncreole.com/," 13901, Town Center Boulevard, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,Stone Creek Dining Company,Not Provided," 13904, Town Center Boulevard, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
ice_cream,Cold Stone Creamery,Not Provided," 13170, Harrell Parkway, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,Houlihan's,Not Provided," 14065, Town Center Boulevard, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,Ford's Garage,Not Provided," 13193, Levinson Lane, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
fast_food,Qdoba,Not Provided," 13230, Harrell Parkway, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,McAlister's Deli,Not Provided," 14191, Town Center Boulevard, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
restaurant,Pots and Pans Pie Company,http://www.potsandpansindy.com/," 4915, North College Avenue, Meridian Kessler, Indianapolis, Marion County, Indiana, 46205, United States"
cafe,Starbucks,https://www.starbucks.com/," 7425, North Keystone Avenue, Indianapolis, Marion County, Indiana, 46240, United States"
fast_food,Qdoba,https://www.qdoba.com/," 7411, North Keystone Avenue, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Capri Ristorante,www.capriindy.com," 2602, Ruth Drive, Ravenswood, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Route 67 Ice Cream & Dinner,Not Provided," 1, South Commercial Street, Worthington, Greene County, Indiana, 47471, United States"
restaurant,Jim Dandy,Not Provided," West Jefferson Street, Tipton, Tipton County, Indiana, 46072, United States"
restaurant,China House,Not Provided," East Main Street, Bloomfield, Greene County, Indiana, 47424, United States"
fast_food,Fiesta Mexican Grill,https://www.yelp.com/biz/fiesta-mexican-grill-west-lafayette," 102, Chauncey Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
fast_food,Wendy's,Not Provided," School Street, Connersville, Fayette County, Indiana, 47331, United States"
restaurant,IHOP,Not Provided," East 53rd Street, Anderson, Madison County, Indiana, 46064, United States"
cafe,Starbucks,Not Provided," 420, University Boulevard, Historic Ransom Place, Indianapolis, Marion County, Indiana, 46202, United States"
restaurant,Monical's Pizza,http://www.monicalspizza.com/," 1600, Shopping Center, Linton, Greene County, Indiana, 47441, United States"
restaurant,La Fiesta Mexican,Not Provided," 1600, Shopping Center, Linton, Greene County, Indiana, 47441, United States"
restaurant,China Sea,Not Provided," 1600, Shopping Center, Linton, Greene County, Indiana, 47441, United States"
restaurant,Emmy's Pancake House and Grill,http://www.emmyspancakehouse.com," 7508, Beechwood Centre Road, Avon, Hendricks County, Indiana, 46123, United States"
fast_food,Subway,Not Provided," South Post Road, Wanamaker, Indianapolis, Marion County, Indiana, 46239, United States"
restaurant,Wheatley's,Not Provided," Northeastern Avenue, Wanamaker, Indianapolis, Marion County, Indiana, 46239, United States"
restaurant,New Bethel Ordinary,Not Provided," Southeastern Avenue, Bethel Creek, Wanamaker, Indianapolis, Marion County, Indiana, 44623, United States"
restaurant,Randy's Pizza,Not Provided," Mc Gaughey Road, Wanamaker, Indianapolis, Marion County, Indiana, 46239, United States"
fast_food,Wendy's,Not Provided," Atlantis Drive, Wanamaker, Indianapolis, Marion County, Indiana, 46239, United States"
restaurant,Donatos Pizza,https://www.donatos.com," West 86th Street, Indianapolis, Marion County, Indiana, 46260, United States"
cafe,Starbucks,Not Provided," West 86th Street, Indianapolis, Marion County, Indiana, 46260, United States"
fast_food,Papa John's,Not Provided," Viburnum Drive, Indianapolis, Marion County, Indiana, 46260, United States"
restaurant,Olive Garden,Not Provided," 6130, East 82nd Street, Indianapolis, Marion County, Indiana, 46250, United States"
restaurant,Olive Garden,Not Provided," 1274, US 31, Greenwood, Johnson County, Indiana, 46142, United States"
restaurant,Great Wall Chinese Restaurant,Not Provided," 1731, National Road West, Richmond, Wayne County, Indiana, 47374, United States"
restaurant,Pizza King,http://www.pizzakingindiana.com/," 306 S Albany St, South Albany Street, Selma, Delaware County, Indiana, 47383, United States"
pub,American Legion,Not Provided," South Albany Street, Selma, Delaware County, Indiana, 47383, United States"
restaurant,Olyvia's Restaurant,Not Provided," South Pittenger Road, Selma, Delaware County, Indiana, 47383, United States"
restaurant,Firehouse BBQ & Blues,Not Provided," 400, North 8th Street, Richmond, Wayne County, Indiana, 47374, United States"
restaurant,Little Sheba’s,http://www.littleshebas.com," 175, Fort Wayne Avenue, Richmond, Wayne County, Indiana, 47374, United States"
cafe,Warehouse Cafe,Not Provided," 213, North 3rd Street, Richmond, Wayne County, Indiana, 47374, United States"
cafe,Roscoe's Coffee Bar and Tap Room,Not Provided," 416, North 10th Street, Richmond, Wayne County, Indiana, 47374, United States"
restaurant,Pizza Hut,Not Provided," West Washington Street, Fairview Station, Indianapolis, Marion County, Indiana, 46241, United States"
fast_food,McDonald's,Not Provided," West Washington Street, Fairview Station, Indianapolis, Marion County, Indiana, 46241, United States"
fast_food,Church's Chicken,Not Provided," South Gerrard Drive, Indianapolis, Marion County, Indiana, 46241, United States"
